a              b              GF_product_p                  GF_product_t                                      
214            168            8.344650268554688             0.7152557373046875                                
41             215            11.205673217773438            0.7152557373046875                                
198            220            11.205673217773438            0.7152557373046875                                
102            231            11.205673217773438            0.7152557373046875                                
88             184            9.5367431640625               0.7152557373046875                                
207            164            8.344650268554688             0.7152557373046875                                
27             185            9.775161743164062             0.7152557373046875                                
86             151            9.059906005859375             0.7152557373046875                                
147            149            8.344650268554688             0.7152557373046875                                
184            255            15.2587890625                 0.95367431640625                                  
183            136            6.4373016357421875            0.7152557373046875                                
218            40             5.9604644775390625            0.7152557373046875                                
234            117            9.298324584960938             0.7152557373046875                                
168            197            8.821487426757812             0.95367431640625                                  
45             162            7.62939453125                 0.7152557373046875                                
154            143            8.821487426757812             0.7152557373046875                                
71             1              2.6226043701171875            0.7152557373046875                                
190            132            6.67572021484375              0.7152557373046875                                
87             23             6.4373016357421875            0.7152557373046875                                
84             22             6.198883056640625             0.95367431640625                                  
69             156            8.821487426757812             0.7152557373046875                                
174            9              4.291534423828125             0.7152557373046875                                
250            240            10.728836059570312            0.7152557373046875                                
109            105            8.58306884765625              0.7152557373046875                                
55             49             6.4373016357421875            0.476837158203125                                 
44             33             5.245208740234375             0.7152557373046875                                
72             249            12.636184692382812            0.7152557373046875                                
5              58             8.344650268554688             0.7152557373046875                                
143            123            10.013580322265625            0.7152557373046875                                
57             188            10.967254638671875            0.95367431640625                                  
151            141            7.8678131103515625            0.7152557373046875                                
232            205            10.013580322265625            0.7152557373046875                                
243            3              3.337860107421875             0.7152557373046875                                
197            224            9.298324584960938             0.95367431640625                                  
55             227            9.775161743164062             0.7152557373046875                                
156            231            11.205673217773438            0.95367431640625                                  
224            26             6.4373016357421875            0.7152557373046875                                
43             178            9.5367431640625               0.7152557373046875                                
23             138            6.9141387939453125            0.7152557373046875                                
108            141            8.344650268554688             0.7152557373046875                                
188            114            9.298324584960938             0.476837158203125                                 
169            82             7.3909759521484375            0.7152557373046875                                
74             136            6.4373016357421875            0.7152557373046875                                
64             26             6.67572021484375              0.7152557373046875                                
128            119            10.49041748046875             0.95367431640625                                  
87             127            11.920928955078125            0.7152557373046875                                
38             72             5.9604644775390625            0.7152557373046875                                
184            116            9.5367431640625               0.7152557373046875                                
97             59             8.344650268554688             0.7152557373046875                                
244            114            9.298324584960938             0.7152557373046875                                
166            84             7.3909759521484375            0.7152557373046875                                
133            210            9.775161743164062             0.7152557373046875                                
134            157            9.298324584960938             0.7152557373046875                                
238            149            8.344650268554688             0.95367431640625                                  
247            65             5.245208740234375             0.7152557373046875                                
232            7              4.76837158203125              0.7152557373046875                                
50             11             5.245208740234375             0.7152557373046875                                
146            171            9.5367431640625               0.7152557373046875                                
235            29             7.152557373046875             0.7152557373046875                                
67             246            12.39776611328125             0.7152557373046875                                
88             242            11.205673217773438            0.95367431640625                                  
81             0              0.476837158203125             0.2384185791015625                                
193            147            7.8678131103515625            0.7152557373046875                                
157            233            10.728836059570312            0.95367431640625                                  
190            28             6.67572021484375              0.7152557373046875                                
218            10             4.5299530029296875            0.7152557373046875                                
95             33             5.0067901611328125            0.7152557373046875                                
137            25             5.9604644775390625            0.7152557373046875                                
90             45             7.152557373046875             0.7152557373046875                                
22             89             8.344650268554688             0.7152557373046875                                
158            101            8.106231689453125             0.7152557373046875                                
132            103            9.059906005859375             0.95367431640625                                  
43             162            7.62939453125                 0.7152557373046875                                
199            22             6.198883056640625             0.95367431640625                                  
74             252            12.636184692382812            0.7152557373046875                                
135            158            10.013580322265625            0.7152557373046875                                
177            48             5.9604644775390625            0.7152557373046875                                
161            180            9.775161743164062             0.7152557373046875                                
72             62             9.059906005859375             0.7152557373046875                                
238            15             6.198883056640625             0.7152557373046875                                
14             247            12.39776611328125             0.7152557373046875                                
142            215            10.967254638671875            0.476837158203125                                 
60             183            10.49041748046875             0.7152557373046875                                
89             27             7.3909759521484375            0.7152557373046875                                
176            128            5.245208740234375             0.95367431640625                                  
54             218            11.205673217773438            0.7152557373046875                                
151            243            11.682510375976562            0.7152557373046875                                
30             139            15.020370483398438            0.7152557373046875                                
53             255            13.589859008789062            0.7152557373046875                                
0              133            0.2384185791015625            0.2384185791015625                                
62             78             7.8678131103515625            0.7152557373046875                                
251            255            14.781951904296875            0.7152557373046875                                
138            56             7.3909759521484375            0.7152557373046875                                
152            140            7.62939453125                 0.95367431640625                                  
1              152            7.8678131103515625            0.7152557373046875                                
79             17             4.5299530029296875            0.476837158203125                                 
164            97             7.152557373046875             0.7152557373046875                                
96             89             8.344650268554688             0.7152557373046875                                
212            164            8.344650268554688             0.476837158203125                                 
57             163            8.106231689453125             0.95367431640625                                  
90             102            8.106231689453125             0.95367431640625                                  
64             214            10.967254638671875            0.95367431640625                                  
214            241            10.967254638671875            0.7152557373046875                                
20             87             8.344650268554688             0.7152557373046875                                
111            61             8.821487426757812             0.95367431640625                                  
70             243            11.682510375976562            0.95367431640625                                  
243            239            12.39776611328125             0.95367431640625                                  
162            175            10.728836059570312            0.7152557373046875                                
51             206            10.013580322265625            0.7152557373046875                                
190            208            9.298324584960938             0.7152557373046875                                
97             209            8.821487426757812             0.7152557373046875                                
49             221            11.920928955078125            0.7152557373046875                                
5              186            9.775161743164062             0.7152557373046875                                
56             213            10.49041748046875             0.7152557373046875                                
228            81             6.67572021484375              0.7152557373046875                                
127            243            12.159347534179688            0.7152557373046875                                
24             237            11.205673217773438            0.7152557373046875                                
109            143            8.821487426757812             0.7152557373046875                                
2              220            10.49041748046875             0.7152557373046875                                
115            3              3.5762786865234375            0.7152557373046875                                
176            107            9.298324584960938             0.7152557373046875                                
181            223            12.636184692382812            0.95367431640625                                  
76             244            11.444091796875               0.7152557373046875                                
8              199            9.298324584960938             0.7152557373046875                                
163            107            9.059906005859375             0.7152557373046875                                
94             150            8.58306884765625              0.7152557373046875                                
10             234            10.728836059570312            0.7152557373046875                                
8              58             7.8678131103515625            0.7152557373046875                                
179            119            10.013580322265625            0.7152557373046875                                
128            170            9.5367431640625               0.7152557373046875                                
141            43             6.9141387939453125            0.7152557373046875                                
129            170            9.298324584960938             0.95367431640625                                  
187            116            9.298324584960938             0.7152557373046875                                
92             82             7.3909759521484375            0.7152557373046875                                
14             245            11.920928955078125            0.7152557373046875                                
78             254            13.589859008789062            0.7152557373046875                                
222            45             7.3909759521484375            0.7152557373046875                                
36             175            10.728836059570312            0.7152557373046875                                
216            81             6.67572021484375              0.7152557373046875                                
29             114            9.298324584960938             0.7152557373046875                                
85             55             8.106231689453125             0.7152557373046875                                
199            213            10.49041748046875             0.7152557373046875                                
48             27             6.67572021484375              0.7152557373046875                                
162            198            9.298324584960938             0.7152557373046875                                
25             150            8.344650268554688             0.7152557373046875                                
137            180            9.5367431640625               0.95367431640625                                  
107            27             6.67572021484375              0.7152557373046875                                
248            132            6.67572021484375              0.7152557373046875                                
126            33             5.0067901611328125            0.7152557373046875                                
201            209            9.298324584960938             0.7152557373046875                                
182            214            10.728836059570312            0.7152557373046875                                
187            108            9.5367431640625               0.7152557373046875                                
37             28             6.4373016357421875            0.7152557373046875                                
86             158            10.013580322265625            0.7152557373046875                                
149            87             8.344650268554688             0.7152557373046875                                
70             19             5.0067901611328125            0.7152557373046875                                
54             58             7.62939453125                 0.7152557373046875                                
39             125            11.444091796875               0.7152557373046875                                
217            184            10.013580322265625            0.7152557373046875                                
75             111            10.013580322265625            0.95367431640625                                  
86             232            10.49041748046875             0.7152557373046875                                
159            43             6.67572021484375              0.7152557373046875                                
138            226            9.5367431640625               0.7152557373046875                                
106            199            9.298324584960938             0.7152557373046875                                
158            10             4.76837158203125              0.476837158203125                                 
90             41             6.198883056640625             0.95367431640625                                  
165            22             5.7220458984375               0.7152557373046875                                
227            161            7.152557373046875             0.7152557373046875                                
227            189            10.728836059570312            0.7152557373046875                                
55             16             4.291534423828125             0.7152557373046875                                
33             167            8.58306884765625              0.7152557373046875                                
67             197            8.58306884765625              0.95367431640625                                  
